,repository_name,language
170,ml-rldf,Python
171,ml-rlgrad,Python
172,ml-robust-expert-augmentations,Python
173,ml-rpm-bench,Python
174,ml-sad,Python
175,ml-sage-dialog-gen,Python
176,ml-sampleplan,Python
177,ml-scaffold,Python
178,ml-scalefit,Python
179,ml-scaling-downstream-metrics,Python
180,ml-selfcond,Python
181,ml-selfreflect,Python
182,ml-semantic-regex,Jupyter Notebook
183,ml-sharp,Python
184,ml-shuffling-amplification,Python
185,ml-sid-dit,Python
186,ml-sigma-reparam,Python
187,ml-sigmoid-attention,Python
188,ml-simplefold,Python
189,ml-slowfast-llava,Python
190,ml-space-benchmark,Python
191,ml-spatial-librispeech,
192,ml-speculative-streaming,Python
193,ml-speech-is-more-than-words,
194,ml-speech-polynorm-bench,
195,ml-spin,Python
196,ml-stable-diffusion,Python
197,ml-stabledreamer,
198,ml-starflow,Python
199,ml-streambridge,Python
200,ml-stuttering-events-dataset,Python
201,ml-superposition-prompting,Python
202,ml-switchboard-affect,Python
203,ml-symphony,Svelte
204,ml-synthbias,
205,ml-tada,Python
206,ml-tarflow,Python
207,ml-tic-clip,Python
208,ml-tic-lm,Python
209,ml-toad,Python
210,ml-tract,Python
211,ml-transcript-translation-consistency-ratings,
212,ml-translate-vis,TypeScript
213,ml-tree-dst,Python
214,ml-tune-mode-convbn,Python
215,ml-tweak,Python
216,ml-ui-jepa,Python
217,ml-uncertainty-llms-instruction-following,Python
218,ml-unigen,Python
219,ml-upscale,Jupyter Notebook
220,ml-uwac,Python
221,ml-veclip,Jupyter Notebook
222,ml-vfi-smiff,Python
223,ml-vfm-kt,
224,ml-vision-transformers-ane,Python
225,ml-vivid,Python
226,ml-vlsu,Python
227,ml-winoidentity,
228,music-feed-examples,Java
229,openjdk,Java
230,parameterized-transforms,Python
231,password-manager-resources,JavaScript
232,pfl-research,Jupyter Notebook
233,pico-banana-400k,Python
234,pir-service-example,Swift
235,pkl,Java
236,pkl-evolution,
237,pkl-go,Go
238,pkl-go-examples,Go
239,pkl-intellij,Kotlin
240,pkl-jvm-examples,Pkl
241,pkl-k8s,Pkl
242,pkl-k8s-examples,Pkl
243,pkl-lang.org,CSS
244,pkl-lsp,Kotlin
245,pkl-neovim,Lua
246,pkl-package-docs,Kotlin
247,pkl-pantry,Pkl
248,pkl-project-commons,Pkl
249,pkl-readers,Go
250,pkl-spring,Java
251,pkl-swift,Swift
252,pkl-swift-examples,Swift
253,pkl-vscode,TypeScript
254,pkl.tmbundle,Pkl
255,pollianna,Java
256,publicsuffix-list,Go
257,python-apple-fm-sdk,Python
258,pytorch-speech-features,Python
259,rules_pkl,Starlark
260,sample-backyard-birds,Swift
261,sample-cloudkit-coredatasync,Swift
262,sample-cloudkit-encryption,Swift
263,sample-cloudkit-privatedb,Swift
264,sample-cloudkit-privatedb-sync,Swift
265,sample-cloudkit-queries,Swift
266,sample-cloudkit-sharing,Swift
267,sample-cloudkit-sync-engine,Swift
268,sample-cloudkit-tooling,JavaScript
269,sample-cloudkit-zonesharing,Swift
270,sample-fbounds-safety-adoption,HTML
271,sample-food-truck,Swift
272,security-pcc,Swift
273,servicetalk,Java
274,speakstream-demo,HTML
275,StreamingSession,C#
276,swift-3-api-guidelines-review,Swift
277,swift-algorithms,Swift
278,swift-argument-parser,Swift
279,swift-asn1,Swift
280,swift-async-algorithms,Swift
281,swift-async-dns-resolver,Swift
282,swift-atomics,Swift
283,swift-binary-parsing,Swift
284,swift-cassandra-client,Swift
285,swift-certificates,Swift
286,swift-clang,C++
287,swift-clang-tools-extra,C++
288,swift-cluster-membership,Swift
289,swift-collections,Swift
290,swift-collections-benchmark,Swift
291,swift-compiler-rt,C
292,swift-configuration,Swift
293,swift-container-plugin,Swift
294,swift-crypto,Assembly
295,swift-distributed-actors,Swift
296,swift-distributed-tracing,Swift
297,swift-distributed-tracing-baggage-core,Swift
298,swift-distributed-tracing-extras,Swift
299,swift-evolution-staging,Swift
300,swift-homomorphic-encryption,Swift
301,swift-homomorphic-encryption-protobuf,
302,swift-http-api-proposal,Swift
303,swift-http-structured-headers,Swift
304,swift-http-types,Swift
305,swift-internals,HTML
306,swift-issues,
307,swift-libcxx,C++
308,swift-llbuild2,Swift
309,swift-lldb,C++
310,swift-llvm,LLVM
311,swift-log,Swift
312,swift-metrics,Swift
313,swift-mmio,Swift
314,swift-nio,Swift
315,swift-nio-examples,Swift
316,swift-nio-extras,Swift
317,swift-nio-http2,Swift
318,swift-nio-imap,Swift
319,swift-nio-nghttp2-support,Swift
320,swift-nio-oblivious-http,Swift
321,swift-nio-ssh,Swift
322,swift-nio-ssl,Assembly
323,swift-nio-ssl-support,Swift
324,swift-nio-transport-services,Swift
325,swift-nio-zlib-support,Swift
326,swift-ntp,Swift
327,swift-numerics,Swift
328,swift-openapi-generator,Swift
329,swift-openapi-runtime,Swift
330,swift-openapi-urlsession,Swift
331,swift-play-experimental,Swift
332,swift-profile-recorder,Swift
333,swift-protobuf,Swift
334,swift-protobuf-plugin,
335,swift-protobuf-test-conformance,
336,swift-sample-distributed-actors-transport,Swift
337,swift-service-context,Swift
338,swift-service-discovery,Swift
339,swift-standard-library-preview,Swift
340,swift-statsd-client,Swift
341,swift-string-processing-benchmarks,Swift
342,swift-system,Swift
343,swift-system-metrics,Swift
344,swift-temporal-sdk,Swift
345,swift-tools-support-async,Swift
346,swift-xcode-playground-support,Swift
347,swiftpm-on-llbuild2,Swift
348,SwiftUsd,C++
349,SwiftUsd-ast-answerer,C++
350,SwiftUsd-Tests,Swift
351,tensor-visualizer,Svelte
352,tensorflow_macos,Shell
353,ToolSandbox,Python
354,tree-sitter-pkl,Kotlin
355,turicreate,C++
356,unityplugins,C#
357,VideoFlashingReduction,Mathematica
358,visatronic-demo,HTML
359,vqg-multimodal-assistant,Python
